Puthiya Niyamam,Pankajaakshara,https://www.malayalachalachithram.com/song.php?i=20426
Valleem Thetti Pulleem Thetti,Pooram Kaanaan,https://www.malayalachalachithram.com/song.php?i=21779
Sakhaavu,Udichuyarnne,https://www.malayalachalachithram.com/song.php?i=22465
Salt Mango Tree,Kaathilaaro,https://www.malayalachalachithram.com/song.php?i=22213
1971 Beyond Borders,Dooreyaavani,https://www.malayalachalachithram.com/song.php?i=22447
1971 Beyond Borders,Dooreyaavani,https://www.malayalachalachithram.com/song.php?i=22448
Jacobinte Swargaraajyam,Thiruvaavani Raavu,https://www.malayalachalachithram.com/song.php?i=21773
Jacobinte Swargaraajyam,Ennilerinju,https://www.malayalachalachithram.com/song.php?i=21775
Paa.Va Paappanekurichum Varkeyekurichum,Paavaykku Bhoomiyil,https://www.malayalachalachithram.com/song.php?i=21867
Yaathra Chodikkaathe,Punnellin,https://www.malayalachalachithram.com/song.php?i=22320
Moonnaam Naal Njaayaraazhcha,Kanalkkinaakkalil,https://www.malayalachalachithram.com/song.php?i=22238
Welcome to Central Jail,Raavin Chillayil,https://www.malayalachalachithram.com/song.php?i=22069
Yodhaavu,Azhakulloru,https://www.malayalachalachithram.com/song.php?i=21897
Yodhaavu,Thazhukaam Thazhukaam,https://www.malayalachalachithram.com/song.php?i=21898
Thondimuthalum Driksaakshiyum,Aayilyam Kaavum Malayum,https://www.malayalachalachithram.com/song.php?i=22542
Sathya - Man on the Road,Chilankakal Tholkkum,https://www.malayalachalachithram.com/song.php?i=22463
Godha,Wow Song,https://www.malayalachalachithram.com/song.php?i=22487
C/o Saira Banu ,Chakkikkochamme,https://www.malayalachalachithram.com/song.php?i=22416
Vimaanam,Vaanamakalunnuvo,https://www.malayalachalachithram.com/song.php?i=22785
Take It Easy,Mazhayazhake (F),https://www.malayalachalachithram.com/song.php?i=22396
Villain,Kandittum Kandittum (F),https://www.malayalachalachithram.com/song.php?i=22648
Udaaharanam Sujaatha,Nee Njangade,https://www.malayalachalachithram.com/song.php?i=22668
Udaaharanam Sujaatha,Chuvadidari Veezhaathonnee (Kanakku Song),https://www.malayalachalachithram.com/song.php?i=22674
Udaaharanam Sujaatha,Ethu Mazhayilum,https://www.malayalachalachithram.com/song.php?i=22678
Udaaharanam Sujaatha,Pennaale Pennaale,https://www.malayalachalachithram.com/song.php?i=22699
Y,Promo Song,https://www.malayalachalachithram.com/song.php?i=23826
Pokkiri Simon,Maampazhakkaalam Vanne,https://www.malayalachalachithram.com/song.php?i=22675
Sthaanam,Jeevitha Dukhathin,https://www.malayalachalachithram.com/song.php?i=22659
Kunjiramante Kuppaayam,Njaarum Cherum,https://www.malayalachalachithram.com/song.php?i=23460
Kunjiramante Kuppaayam,Sneham,https://www.malayalachalachithram.com/song.php?i=23461
Eeda,Maarivil Maayanu,https://www.malayalachalachithram.com/song.php?i=22791
Lolans,Manjuthulliyile,https://www.malayalachalachithram.com/song.php?i=22903
Kadha Paranja Kadha,Pazhampaattin Eenam,https://www.malayalachalachithram.com/song.php?i=22907
Kala Viplavam Pranayam,Vaanolam,https://www.malayalachalachithram.com/song.php?i=22999
Ira,Etho Paattin Eenam,https://www.malayalachalachithram.com/song.php?i=23038
Kinar,Mazhavil Kaavile,https://www.malayalachalachithram.com/song.php?i=23092
Udalaazham,Medasooryante (F),https://www.malayalachalachithram.com/song.php?i=23150
Udalaazham,Puzhayil,https://www.malayalachalachithram.com/song.php?i=23152
Aalorukkam,Oridathoru,https://www.malayalachalachithram.com/song.php?i=23186
Kaamuki,Sowhrudam,https://www.malayalachalachithram.com/song.php?i=23326
